Korean,English
바람둥이,"womanizer, playboy"
바래다,eagle
바래다주다,"to see somebody off, take someone home"
바렌츠 해,Barents Sea
바로,right
바르셀로나,Barcelona
바마코,Bamako
바베이도스,Barbados
바보,brother and sister
바비큐,barbecue
바빌론,Babylon
바빌론의 공중 정원,Hanging Gardens of Babylon
바빠요,to be busy
바빴어요,to be busy
바쁘다,to be busy
바쁠 거예요,to be busy
바순,bassoon
바우하우스,Bauhaus
바위,rock
바이러스,virus
바이러스학,virology
바이마르 공화국,Weimar Republic
바이에른 주,Bavaria
바이올린,violin
바이킹,Viking
바이트,byte
바지,pants
바질,basil
바치다,"to dedicate, offer, give"
바퀴,wheel
박물관,museum
박사,Folk village
박수,"handclapping, applause"
박식한,wise
박히다,deep bow
밖,"approval, agreement, consent"
반,"to surround, enclose"
반갑다,"to talk nonsense, gibberish, babble, speak incoherently"
반구,hemisphere
반기다,"to greet, welcome"
반납하다,x
반년,"half a year, six months"
반대,a long time
반대하다,"to oppose, be against, reverse, object"
반도,peninsula
반드시,"that much, to that extent, as much, so much"
반면에,"on the other hand, expression that indicates that facts in the first and second state are opposites"
반물질,antimatter
반바지,shorts
반복하다,to repeat
반사하다,"to be distinctive, clear, obvious, apparent, standing out"
반응,"to intervene, interfere, step in"
반장,"class president, leader"
반죽,"dough, batter"
반지,ring
반찬,side dish
반찬거리,"groceries, materials for making side dishes"
반칙,"foul, violation, infringement"
반팔,short-sleeve shirts
받다,"to receive, accept, get, take"
받아쓰다,"to take dictation, write down"
받아요,"to receive, accept, get, take"
받았어요,"to receive, accept, get, take"
받을 거예요,"to receive, accept, get, take"
발,zoo
발가락,toe
발걸음,"footstep, pace"
발견하다,"to discover, detect, come across, find"
발끝,tips of one's toes
발달하다,"to propose, suggest"
발라드,ballad
발레,ballet
발레아레스 제도,Balearic Islands
발리 섬,Bali
발매,"putting something on the market, releasing"
발명하다,"to be important, significant"
발목,ankle
발음,pronunciation
발전,x
발표,"announcement, statement, presentation, publish, release"
발표회,"recital, performance, conference, exhibition, meeting"
밟다,"to break up, part, separate, split"
밟아요,"to break up, part, separate, split"
밟았어요,"to break up, part, separate, split"
밟을 거예요,"to break up, part, separate, split"
밤,"night, night time"
밤 새,"all night long, overnight"
밤낮,day and night
밤사이,nighttime
밤새도록,"all night long, whole night through"
밤새우다,to stay up all night
밤색,"brown, chestnut"
밥,noodles
밥맛,x
방,"room, shot, round, punch"
방귀,fart
방금,"sashimi, sliced raw fish"
방면,seed
방문,visit
방문하다,"to visit, stop by, call"
방법,method
방법론,methodology
방벽,barrier
방사,radiation
방석,cushion
방송국,badminton
방송하다,"to broadcast, televise"
방식,"method, way, means"
방안,2.0
방어하다,defend
방정식,equation
방패,shield
방학,service
방해하다,"to protect, preserve, conserve, take care of"
방향,"direction, way, course"
밭,"field, farm"
배,wedding ceremony
배경,"background, setting"
배고파요,to be hungry
배고팠어요,to be hungry
배고프다,to be hungry
배고픈,hungry
배고플 거예요,to be hungry
배구,volleyball
배꼽,"navel, belly button"
배낭,backpack
배달,guide
배달원,delivery man
배드민턴,badminton
배려,x
배를 젓다,row
배반,"betrayal, treachery"
배부르다,to have a full stomach
배부를 거예요,to have a full stomach
배불러요,to have a full stomach
배불렀어요,to have a full stomach
배신자,"betrayer, traitor"
배신하다,"to betray, stab in the back"
배우,"actor, actress"
배우다,to learn
배울 거예요,to learn
배웅하다,"to see someone out, see someone off"
배워요,to learn
배웠어요,to learn
배즙,pear juice
배추,Chinese cabbage
배탈나다,to have a stomachache
배탈나요,to have a stomachache
배탈날 거예요,to have a stomachache
배탈났어요,to have a stomachache
배터리,battery
백과사전,encyclopedia
백년 전쟁,Hundred Years' War
백성,"to be pleasant, nice, comfortable"
백수,good-looking man
백작,count
백조,swan
백해,White Sea
백화점,department store
밴드,band
뱀,snake
뱀자리,Serpens
뱀장어,eel
뱀주인자리,Ophiuchus
버려요,to throw away
버렸어요,to throw away
버릇,x
버리다,to throw away
버릴 거예요,to throw away
버섯,mushroom
버스,bus
버찌,cherry
버터,butter
버티다,"to begin, start, open, commence"
번,"earned, occasion, time, No."
번갈아,Mexico
번개,lightning
번역,translation
번호,number
벌,"forest, woods"
벌금,"fine, penalty"
벌꿀,honey
벌레,worm
벌리다,x
벌써,already
벌어질 거예요,"to grow apart, drift apart, recede, become alienated"
벌이다,x
벌주다,to punish
벌줄 거예요,to punish
벌줘요,to punish
벌줬어요,to punish
범위,"scope, range, extent, limits"
범인,action
범죄학,criminology
법,swings
법정,court of law
법칙,alley
법학,law
벗겨지다,"to come off, fall off, get removed, be taken off"
벗다,x
벗어나다,"regret, dissatisfaction"
벚꽃,cherry blossoms
벚꽃놀이,picnic under the cherry blossoms
베개,pillow
베네룩스,Benelux
베란다,porch
베르사유 조약,Treaty of Versailles
베링 해협,Bering Strait
베이스 기타,bass guitar
베이지색,beige
베이직,BASIC
베이징,Beijing
베이컨,bacon
베트남,Vietnam
벤치,bench
벵갈루루,Bangalore
벼,"rice, rice plant"
벼룩시장,flea market
벽,oven
벽돌,brick
벽보,poster
변경하다,to cook
변기,anonymity
변두리,side
변명,"excuse, justification"
변압기,transformer
변하기 쉬운,variable
변하다,to take a shower
변함없다,"be unchanged, constant"
변함없어요,"to be unchanged, constant"
변함없었어요,"to be unchanged, constant"
변함없을 거예요,"to be unchanged, constant"
변호사,"lawyer, attorney"
변화하다,"monster, freak"
별,"feeling, sensation, sense, hunch, impression"
별나다,"to be peculiar, strange, weird, eccentric"
별도,geography
별로,"not much, not especially, nothing in particular"
별명,nickname
별일,"strange thing, special event, unusual occurrence, particular thing"
별자리,constellation
별장,"vacation home, cottage, house built for occasional visits not permanent residence"
병,bottle
병들 거예요,"to become sick, lose one's health"
병들다,"to become sick, lose one's health"
병들어요,"to become sick, lose one's health"
병들었어요,"to become sick, lose one's health"
병리학,pathology
병실,"hospital room, patient's room"
병원,"hospital, clinic"
보건소,health center
보고서,"report, paper"
보고하다,"to be valuable, important, precious"
보관하다,x
보내다,"to be lazy, idle"
보내요,"to be lazy, idle"
보낼 거예요,"to be lazy, idle"
보냈어요,"to be lazy, idle"
보다,to see
보도,opera
보드카,vodka
보라색,"violet, purple"
보람 있다,"to be worthwhile, rewarding, fruitful"
보르도,Bordeaux
보름달,full moon
보리,barley
보상,"upstairs, upper floor"
보스포루스 해협,Bosporus
보안,security
보약,"tonic, restorative herbal medicine"
보여주다,"to be far, distant"
보여줄 거예요,"to be far, distant"
보여줘요,"to be far, distant"
보여줬어요,"to be far, distant"
보육원,"orphanage, foster home, child care service"
보일러,"boiler, furnace"
보장하다,"to guarantee, assure, vouch for, promise"
보존,boson
보크사이트,bauxite
보통,x
보트,boat
보험,insurance
보험료,insurance
보호,protection
보호자,"caution, beware of, careful"
보호하다,"to protect, preserve, conserve, take care of"
복,"wreck, mess, bad shape"
복도,hallway
복사기,"copy machine, photocopier"
복사하다,"to reproduce, copy, duplicate"
복수,"disaster, catastrophe, tragedy"
복숭아,peach
복습하다,"to review, revise, go over"
복어,blowfish
복잡한,complex
복종,obedience
복종하다,"to obey, submit"
복학생,student who has returned to school after a long break
볶음밥,fried rice
본,Bonn
본격적,x
본래,Eiffel Tower
본래의,original
본색,one's true colors
본업,"main occupation, day job, primary job"
본체만체하다,"to ignore, pretend not to see"
볼,historian
볼 거예요,to see
볼로냐,Bologna
볼링,bowling
볼펜,ballpoint pen
봄,spring
봉사,underground train
봉사활동,community service activities
봉투,"envelope, bag"
봐요,to see
봐주다,"to stand closely together, form a line, be aligned"
봤어요,to see
봬요,"to grow apart, drift apart, recede, become alienated"
뵀어요,"to grow apart, drift apart, recede, become alienated"
뵈다,"to grow apart, drift apart, recede, become alienated"
뵐 거예요,"to grow apart, drift apart, recede, become alienated"
부근,"to be excessive, go to far"
부끄럼,shame
부담,"burden, load, obligation"
부당하다,"to be unfair, unjust, wrong"
부대,"to register, enroll, sign up, put on record"
부동산,"real estate, property, real estate agent"
부드러운,soft
부디,newly hired employee
부러지다,x
부리다,October
부모님,parents
부베이 섬,Bouvet Island
부부,a married couple
부분,"fate, destiny"
부사,adverb
부산,Busan
부상,x
부서지다,"booklet, brochure, pamphlet"
부속 건물,wing
부엌,kitchen
부엌용품,"kitchen appliances, utensils"
부유하다,"to be rich, wealthy"
부유한,rich
부자,"movement, motion, activity"
부작용,side effect
부장,head of department
부적절하다,"to be inappropriate, unsuitable"
부정,x
부정적,"negative, being contradictory"
부정확,"innacuracy, incorrectness"
부족,"wealth, riches"
부주의,"carelessness, negligence, inattentive"
부지런하다,"to be hardworking, diligent"
부처,Buddha
부츠,boots
부친,person
부침개,Korean pancake
부탁,"request, ask a favor"
부탁하다,"the last, the bottom, worst performer"
부표,buoy
부호,sign
부활,resurrection
부활절,Easter
부활하다,"to revive, bring back, rise from the dead"
북극점,North Pole
북극해,Arctic Ocean
북아메리카,North America
북아일랜드,Northern Ireland
북아프리카,North Africa
북유럽 신화,Norse mythology
북쪽,north
북쪽왕관자리,Corona Borealis
북쪽의,north
북한,North Korea
북해,North Sea
분,minute
분류하다,"with one's utmost sincerity or whole heart, with great care"
분류학,taxonomy
분리된,separate
분리하다,"details, particulars"
분명히,crybaby
분석,analysis
분수,rain water
분식,flour-based food
분실,x
분실물,"lost article, lost item"
분야,"sincerity, devotion"
분위기,"atmosphere, mood"
분자,molecule
분자생물학,molecular biology
분장하다,"to put on make up, dress as"
분점,equinox
분주하다,to be busy
분홍색,pink
분화구,crater
불 거예요,"to blow, breathe"
불가능하다,to be impossible
불가지론,agnosticism
불결하다,"to be unsanitary, filthy, unclean, untouchable, dirty"
불고기,bulgogi
불과하다,"to be nothing more than, only, merely"
불교,Buddhism
불국사,Bul Guk temple
불규칙,irregular
불길하다,"to be unlucky, ominous, foreboding"
불꽃,"spark, flame"
불꽃놀이,fireworks
불다,"to blow, breathe"
불똥,spark
불리하다,"to be unfavorable, disadvantageous"
불만,"dissatisfaction, discontent, complaint"
불법,"illegality, unlawfulness, illegal action"
불빛,"light, glow, firelight"
불쌍하다,"to be pitiful, pathetic, poor"
불쑥,"unexpectedly, abruptly, all of a sudden"
불안하다,"to pass an exam, get accepted, pass inspection, become qualified"
불어,French language
불어요,"to blow, breathe"
불었어요,"to blow, breathe"
불완전하다,"to be incomplete, imperfect"
불우하다,"to be underpriviledge, disadvantaged, deprived"
불쾌하다,"to be unpleasant, disagreeable,uncomfortable, displeasing"
불편하다,to take a shower
불행하다,"to be unhappy, unfortunate, not happy"
붐비다,"to be crowded, packed"
붓다,x
붕대,"bandage, dressing"
붙다,x
붙어요,x
붙었어요,x
붙을 거에요,x
뷰테인,butane
브라자빌,Brazzaville
브라질,Brazil
브란덴부르크 주,Brandenburg
브레스트,Brest
브레이크,brake
브레이크를 걸다,brake
브리즈번,Brisbane
브리튼 제도,British Isles
브리티시컬럼비아 주,British Columbia
블라디보스토크,Vladivostok
블라우스,blouse
블랙홀,black hole
비,rain
비가 오다,to rain
비가 올 거예요,to rain
비가 와요,to rain
비가 왔어요,to rain
비결,younger sister of one's wife
비관,pessimism
비교적,"relatively, comparatively"
비교하다,to compare with
비금속,nonmetal
비누,soap
비닐,"plastic, vinyl"
비단,silk
비둘기,"pidgeon, dove"
비디오,video
비록,"even though, even if, although"
비료,manure
비만,"fatness, obesity"
비밀,secret
비밀번호,"password, PIN, personal identification number"
비버,beaver
비상,"emergency, crisis"
비서,"secretary, personal assistant"
비슈누,Vishnu
비스바덴,Wiesbaden
비슷하다,to be similar
비싸다,to be expensive
비싸요,to be expensive
비쌀 거예요,to be expensive
비쌌어요,to be expensive
비올라,viola
비용,pickled radish
비유,metaphor
비율,"ratio, proportion, percentage"
비자,visa
비전,"vision, future, prospect"
비참하다,to take notes
비타민,vitamin
비트,bit
비틀다,"to twist, wring"
비평가,critic
비행기,"airplane, plane"
비행선,ship
빅뱅,big bang
빈대떡,green-bean pancake
빈방,vacant room
빈번한,frequent
빈자리,"empty seat, vacant spot"
빈칸,"blank space, blank column"
빈트후크,Windhoek
빌려요,to borrow
빌려주다,"to lend, loan"
빌려줄 거예요,"to lend, loan"
빌려줘요,"to lend, loan"
빌려줬어요,"to lend, loan"
빌렸어요,to borrow
빌리다,to borrow
빌릴 거예요,to borrow
빗,comb
빗물,rain water
빗자루,broom
빗질하다,comb
빙하,glacier
빚,debt
빚내다,to borrow money
빛,ranking
빠르다,"to be fast, quick, early"
빠른,fast
빠를 거예요,"to be fast, quick, early"
빠져나가다,"to last, continue, persist, maintain"
빠져나오다,"to take over, accept, assume"
빠져요,"fall out, drain, deflate"
빠졌어요,"fall out, drain, deflate"
빠지다,ghost story
빠질 거예요,"fall out, drain, deflate"
빤히,"in the end, no matter what, without fail"
빨간색,red
빨갈 거예요,to be red
빨강,"red, crimson, scarlet"
빨갛다,to be red
빨개요,to be red
빨개져요,"to turn red, blush"
빨개졌어요,"to turn red, blush"
빨개지다,"to turn red, blush"
빨개질 거예요,"to turn red, blush"
빨갰어요,to be red
빨다,"despair, hopelessness"
빨대,straw
빨라요,"to be fast, quick, early"
빨랐어요,"to be fast, quick, early"
빨래하다,to do laundry
빵,bread
빵집,bakery
빼앗다,"worker, laborer, workforce"
빽빽한,thick
뺏다,"king, emperor"
뺨맞다,to get slapped
뻐꾸기과,cuckoo
뻔뻔하다,"to be shameless, brazen"
뻔하다,x
뼈,menu
뼈요,"to sprain, twist"
뼜어요,"to sprain, twist"
뾰족하다,"eloquence, being clear, oratory"
뿌리,root
뿔,horn
삐다,"to sprain, twist"
삐치다,"to sulk, be ticked off"
삘 거예요,"to sprain, twist"
사,9.0
사거리,"intersection, crossroads, street corner"
사건,"incident, affair, event, case, accident"
사계절,four seasons
사고,"accident, mistake,"
사고하다,reason
사과,apple
사극,"historical drama, historical film"
사기꾼,"con artist, swindler, cheater, fraud"
사내아이,"feeling, emotion, sentiment"
사냥하다,"to hunt, prey on"
사는 곳,place of living
사다,to buy
사다리,ladder
사닥다리,ladder
사돈,"relatives by marriage, in-laws"
사또,district magistrate
사라예보,Sarajevo
사라지다,"to pay, make a payment"
사람의,human
사랑,love
사랑스럽다,"to be lovely, adorable"
사랑하다,love
사립학교,private school
사막,desert
사모님,"one's teacher's wife, one's superior's wife"
사무라이,samurai
사무실,office
사물함,"locker, cabinet"
사방,"all directions everywhere, 4 sides, all sides"
사생활,"privacy, private life"
사슴,deer
사실,fact
사실은,"in fact, the truth is, actually"
사악한,black
사암,sandstone
사양,"to be defeated, lose"
사업,"license, permission"
사업가,"businessman, entrepreneur"
사오다,to buy something and bring it
사올 거예요,to buy something and bring it
사와요,to buy something and bring it
사왔어요,to buy something and bring it
사요,to buy
사용하다,"to change schools, transfer schools"
사우스오스트레일리아 주,South Australia
사위,son-in-law
사은품,"free gift, freebie"
사이,"threat, intimidation"
사이다,"lemon-lime soda, sprite, seven-up"
사이버네틱스,cybernetics
사이좋게,"cow, cattle"
사이클론,cyclone
사자,"lion, lioness"
사장,"plate, dish"
사적,superstition
사전,dictionary
사증,visa
사직서,x
사직하다,"to resign, step down"
사진,"picture, photo"
사진관,photo studio
사창가,"red light distric, brothel, unlicensed prostitute"
사촌,cousin
사치,luxury
사치스럽다,"to be luxurious, extravagant, lavish"
사치품,luxury goods
사탕,candy
사투리,dialect
사파이어,sapphire
사항,"matter, item, things, particulars, issue"
사해,Dead Sea
사회,"society, community, the world"
사회언어학,sociolinguistics
사회적,social
사회학,sociology
사흘,"three days, third day"
삭제하다,"to be imperfect, not adequate, sloppy, awkward, careless"
산,mountain
산꼭대기,"top of a mountain, peak, summit"
산문,prose
산수,arithmetic
산업,industry
산토끼,hare
산호,coral
살,flesh
살 거예요,to buy
살구,apricot
살리다,x
살무사,viper
살아가다,front row
살이 빠져요,to lose weight
살이 빠졌어요,to lose weight
살이 빠지다,to lose weight
살이 빠질 거예요,to lose weight
살인,"murder, killing"
살짝,catfish
살충제,pesticide
살탕,sugar
살펴보다,to click
살펴볼 거예요,to click
살펴봐요,to click
살펴봤어요,to click
살펴요,"to look, examine, check, search"
살폈어요,"to look, examine, check, search"
살피다,"to look, examine, check, search"
살필 거예요,"to look, examine, check, search"
삶,x
삶다,to boil
삼,8.0
삼각,triangle
삼겹살,korean barb.
삼계탕,chicken soup with ginseng
삼국,"three countries , three states"
삼다,to be born
삼아요,to be born
삼았어요,to be born
삼을 거예요,to be born
삼중수소,tritium
삼촌,uncle
삽,"shovel, spade"
삽화,illustration
삿포로 시,Sapporo
샀어요,to buy
상,statue
상관없다,to whisper
상관없어요,to whisper
상관없었어요,to whisper
상관없을 거예요,to whisper
상담,consultation
상당히,"considerably, quite, rather, substantial"
상대,"cause, factor, reason"
상대편,the other party
상대하다,"to deal with, face each other"
상반기,the first half of the year
상사,singer
상상력,imagination
상상하다,"to imagine, picture"
상세,"details, particulars"
상세하다,"to be detailed, full"
상속하다,to inherit
상승하다,"to rise, climb, increase"
상식,"common sense, common knowledge"
상어,shark
상업,"commerce, business"
상의,coat
상인,"merchant, dealer"
상자,"box, case, bin"
상처,"grain, cereals, crop"
상추,lettuce
상쾌하다,"to be refreshing, fresh"
상태,"condition, state"
상투적,"several, many, a lot of"
상품,"actor, actress"
상하이,Shanghai
상황,"situation, state of things, circumstances, condition"
샅샅이,"everywhere, all over, thoroughly, completely"
샇여요,"to be cheerful, pleasant, rhythmical"
샇였어요,"to be cheerful, pleasant, rhythmical"
샇일 거예요,"to be cheerful, pleasant, rhythmical"
새,bird
새끼,mailbox
새끼손가락,little finger
새끼양,lamb
새로,newly
새로운,"new, fresh, original"
새로울 거예요,"to be new, fresh, original"
새로워요,"to be new, fresh, original"
새로웠어요,"to be new, fresh, original"
새롭다,"to be new, fresh, original"
새벽,"dawn, daybreak, morning"
새어머니,stepmother
새외버스,intercity bus
새우,"shrimp, prawn"
새장,bird cage
새콤하다,"to be sour, acidic"
새하얗다,"to be pure white, snow-white"
새해,New Year
색깔,color
색연필,colored pencil
색인,index
색종이,colored paper
색칠하다,"to color, paint"
샌드위치,sandwich
샌들,sandals
샌디에이고,San Diego
샌프란시스코,San Francisco
샐러드,salad
샘,river water
샘물,spring water
생각,"thought, idea"
생각나다,"to come to mind, think of, remember, be reminded of, dawn upon, occur"
생각나요,"to come to mind, think of, remember, be reminded of, dawn upon, occur"
생각날 거예요,"to come to mind, think of, remember, be reminded of, dawn upon, occur"
생각났어요,"to come to mind, think of, remember, be reminded of, dawn upon, occur"
생각되다,sound
생각하다,to think
생강,ginger
생겨나다,"to come into existence, occur, emerge"
생겨나요,"to come into existence, occur, emerge"
생겨날 거예요,"to come into existence, occur, emerge"
생겨났어요,"to come into existence, occur, emerge"
생년월일,date of birth
생리학,physiology
생명,thunder
생물다양성,biodiversity
생물리학,biophysics
생물지리학,biogeography
생물학,biology
생방송,live broadcast
생산고,production
생산하다,to arm wrestle
생생하다,"to be vivid, graphic"
생선,chocolate
생선회,"sashimi, sliced raw fish"
생수,"mineral water, natural water, bottled water"
생시,"to be vivid, graphic"
생일,birthday
생화학,biochemistry
생활,"being rational, reasonable"
생활비,"living expenses, the cost of living"
샤워하다,to take a shower
샴페인,champagne
샴푸,shampoo
서너,three or four
서늘하다,"to determine, finalize, decide, confirm, settle, fix"
서늘한,cool
서다,"bodyguard, escort"
서두르다,"script, screenplay"
서랍,drawer
서로,"each other, mutually, one another"
서류,side dish
서른,80.0
서명,rose
서방,groom
서벵골 주,West Bengal
서비스,service
서스캐처원 주,Saskatchewan
서아프리카,West Africa
서양,the West
서양 자두,plum
서예,calligraphy
서요,"bodyguard, escort"
서운하다,x
서울,Seoul
서점,bookstore
서쪽,west
서쪽의,west
서투른,bad
석고,gypsum
석기 시대,Stone Age
석류,pomegranate
석면,asbestos
석양,"sunset, dusk"
석영,quartz
석유,"oil, petroleum"
석탄,coal
석회암,limestone
섞다,"to blend, mix, shuffle"
섞어요,"to blend, mix, shuffle"
섞었어요,"to blend, mix, shuffle"
섞을 거예요,"to blend, mix, shuffle"
섞이다,x
선,line
선거,election
선곡,selection of music
선구자,pioneer
선글라스,sunglasses
선로,"train tracks, railroad"
선물,present
선반,"shelf, rack"
선불,payment in advance
선비,classical scholar
선생님,teacher
선수,"bracelet, wristlet"
선실,cabin
선인장,cactus
선입견,"prejudice, stereotype, preconceived notion"
선전,x
선착순으로,"by order of arrival, first come first serve"
선택,"choice, selection, select"
선택권,"option, choice"
선택하다,x
선풍기,electric fan
선형대수학,linear algebra
선호하다,to prefer
설 거예요,"bodyguard, escort"
설거지,dishwashing
설날,"New Year's Day, the Lunar New Year"
설득하다,"to persuade, convince"
설렁탕,beef and noodle soup
설명하다,"to explain, give information to someone that they didn't previously know"
설문지,"questionnaire, survey"
설사,palace
섬,island
섬세한,delicate
섬유소,cellulose
섭섭하다,"to be contaminated, infected, polluted"
섭씨,Celsius
섰어요,"bodyguard, escort"
성,"sound source, online music"
성격,"character, personality, nature"
성공,"success, succeed"
성공회,Anglicanism
성금,"donation, contribution"
성난,angry
성냥,matches
성당,Catholic church
성명,"field, farm"
성명서,statement
성묘하다,to visit one's ancestral graves
성별,"sex, gender"
성인,"sled, sleigh"
성장,"growth, devlopment"
성직자,priest
성질,nature
성취하다,to graduate
성층권,stratosphere
성함,"flower, bloom, blossom"
성형수술,plastic surgery
세계,"feeling, sensation, sense, hunch, impression"
세계적,enthusiastic performance
세균,"bacteria, germ, virus"
세균학,bacteriology
세금,tax
세기,century
세다,number
세대,"plant, vegetation"
세련되다,"to be polished, refined, sophisticated"
세례,baptism
세미나,seminar
세배,New Year's bow
세뱃돈,New Year's cash gifts
세상,"scale, scope, systematic plan"
세수하다,to wash one's face
세우다,"saying, proverb"
세워져요,"to be built, be established"
세워졌어요,"to be built, be established"
세워지다,"to be built, be established"
세워질 거예요,"to be built, be established"
세월,Singapore
세차하다,to wash a car
세척기,syringe
세탁,"to be fluent, eloquent"
세탁기,washing machine
세탁소,"laundry, dry cleaner's"
세트,a set
세포,cell
센터,center
센티미터,centimeter
셈,"figures, calculation"
셋,8.0
소감,x
소개,introduction
소개팅,blind date
소개하다,"to introduce, recommend"
소고기,x
소극장,small theater
소금,salt
소나무,pine tree
소넷,sonnet
소녀,"negotiation, talks, bargaining"
소년원,"youth detention center, juvenile hall"
소독하다,"to disinfect, sterilize"
소리,"sound, noise"
소말리아,Somalia
소망,"wish, hope, desire"
소문,"rumor, gossip"
소박,to make a mess
소박하다,"error, mistake, fallacy, miscalculation"
소방관,fireman
소방서,fire station
소비,consumption
소비자,consumer
소생하다,"to revive, recover"
소설,novel
소설가,novelist
소속되다,"to belong to, be affiliated"
소속사,"agency, management company"
소송,"lawsuit, litigation, suit"
소수,prime number
소스,sauce
소스 코드,source code
소시지,sausage
소식,"to be still, quiet, calm, silent, peaceful"
소심하다,x
소아과,pediatrics
소원,three or four
소유하다,"to own, have, possess"
소주,alcoholic beverage
소중하다,"to be valuable, important, precious"
소총,rifle
소크라테스,Socrates
소파,"sofa, couch"
소포,"parcel, package"
소포클레스,Sophocles
소풍,"picnic, trip, outing"
소행성,asteroid
소행성대,asteroid belt
소형,"small item, small size, being small"
소형차,compact car
소화,weather
속,"influence, effect, impact"
속다,"to be deceived, fooled"
속담,"saying, proverb"
속도,"speed, pace, velocity"
속삭였어요,to whisper
속삭이다,to whisper
속삭이에요,to whisper
속삭일 거예요,to whisper
속상하다,"general cleaning, big cleaning, spring cleaning"
속성,property
속여요,"to deceive, cheat, trick, lie"
속였어요,"to deceive, cheat, trick, lie"
속옷,underwear
속이다,"to deceive, cheat, trick, lie"
속일 거예요,"to deceive, cheat, trick, lie"
속임수,trick
손,hand
손가락,finger
손길,museum
손녀,granddaughter
손님,news
손등,back of the hand
손목,wrist
손바닥,palm of the hand
손수건,handkerchief
손실,loss
손자,grandson
손잡이,"handle, knob"
손톱,fingernail
손해,blister
솔,brush
솔로몬 왕,Solomon
솔로몬 제도,Solomon Islands
솔직히,x
솜,cotton
솜사탕,cotton candy
송금하다,"to remit, send money, wire"
송별회,farewell party
송어류,trout
송편,half-moon-shaped rice cake
솥,"iron pot, cauldron"
쇠고기,one's left
쇠사슬,chain
쇼핑,shopping
쇼핑센터,shopping center
수,number
수갑,"handcuffs, shackles"
수강,taking a course
수건,towel
수고하다,"to go through the trouble, work hard, make an effort"
수녀,nun
수다,kimchi pancake
수다떨다,to chat
수다스럽다,"to be talkative, chatty"
수다쟁이,"talkative person, chatty person"
수단,"leaf, foliage"
수달,otter
수도,capital
수도원,abbey
수돗물,tap water
수량,"charge, name of a crime"
수레,"wagon, cart, wheelbarrow"
수리매,hawk
수리하다,to turn right
수마트라 섬,Sumatra
수면제,sleeping pills
수명,"life, life span"
수바,Suva
수박,watermelon
수사학,rhetoric
수산시장,fish market
수상하다,"to be suspicious, strange, shady"
수성,Mercury
수속,procedure
수수께끼,"puzzle, riddle, mystery"
수수료,"commission, transaction fee"
수수속,sorghum
수술,"all directions everywhere, 4 sides, all sides"
수신,fun
수십,"tens, scores, dozens"
수업,"to be unpleasant, disagreeable,uncomfortable, displeasing"
수열,sequence
수염,"beard, moustache, whiskers"
수영,"swimming, bathing, swim"
수영복,"swimsuit, bathing suit"
수영장,swimming pool
수요,demand
수요일,Wednesday
수입,x
수족관,aquarium
수준,"level, standard, norm, average"
수증기,steam
수첩,"laundry, dry cleaner's"
수출,export
수판,abacus
수퍼맨,superman
수평의,horizontal
수표,hiking boots
수프,soup
수필,"ceramic ware, pottery"
수하물,"luggage, baggage, hand baggage"
수학,"worker, laborer"
숙녀,lady
숙면,"deep sleep, sound sleep"
숙소,"area, region, district, zone"
숙어,idiom
숙여요,"to turn red, blush"
숙였어요,"to turn red, blush"
숙이다,knitting
숙일 거예요,"to turn red, blush"
숙제,"homework, assignment"
숙주,host
숙지하다,"to be well informed, know inside out, be full aware"
숙취,hangover
순간,"moment, instant"
순서,tap water
순수하다,"to push out, force out"
순수한,pure
순위,"rating, ranking, position"
순종하는,obedient
순진하다,anniversary
순차,"sequential, order"
숟가락,spoon
술,liquor
술래잡기,"tag, hide-and-seek"
술집,"bar, pub"
숨,"breath, breathing"
숨다,"to be rare, unusual, uncommon"
숨바꼭질,hide-and-seek
숨쉬다,"to be fed up, sick and tired"
숨어요,"to be rare, unusual, uncommon"
숨었어요,"to be rare, unusual, uncommon"
숨을 거예요,"to be rare, unusual, uncommon"
숫자,numbers
숲,"forest, woods"
쉬다,to rest
쉬어요,to rest
쉬운,easy
쉬울 거예요,"to be easy, simple"
쉬워요,"to be easy, simple"
쉬웠어요,"to be easy, simple"
쉰,101.0
쉴 거예요,to rest
쉽게,"easily, simply, without difficulty"
쉽다,"to be easy, simple"
슈투트가르트,Stuttgart
슈퍼마겟,supermarket
슈퍼마켓,supermarket
스물,70.0
스발바르 제도,Svalbard
스스로,"characteristic, nature, property, quality, attribute"
스승,teacher
스웨터,sweater
스치다,"to block, shut off, obstruct"
스칸디나비아,Scandinavia
스커트,skirt
스케이트,"skates, skating"
스케치북,sketchbook
스코틀랜드,Scotland
스키,"skiing, skis"
스키장,ski resort
스타일,style
스타킹,"stockings, pantyhose"
스테이크,steak
스톤헨지,Stonehenge
스트레스,"stress, strain"
스파게티,spaghetti
스파르타,Sparta
스페인 내전,Spanish Civil War
스펙트럼,spectrum
스포츠,sports
스핑크스,sphinx
슬리퍼,slipper
슬퍼요,to be sad
슬퍼하다,"to steal, rob"
슬펐어요,to be sad
슬프다,to be sad
슬플 거예요,to be sad
습관,"high praise, compliment"
습기,"moisture, humidity"
습도,humidity
습진,eczema
승객,passenger
승리,"victory, win"
승무원,"crewman, stewardess"
승용차,"passenger car, sedan"
승인,"approval, acknowledgement"
승자,winner
승진,"ceramic ware, pottery"
싈 거예요,"to be white, fair"
시,"workplace, job, office, company"
시간,Gangnam
시간대,time zone
시간표,x
