input,explanation,answer
提前安装(猜一字),提示：“提前”理解为“提”字的前面部分，为“扌”。谜面中的“安”与“扌”组成字“按”。扌+安=按。,按
三更求宿(猜一字),提示：“三更”又名“子时”，扣“子”。“求”指的是需求，扣“需”。需+子=孺。,孺
一个加一个(猜一字),提示：谜面中的“个”与“个”组成字“竹”，“竹”理解为竹字头“⺮”。“⺮”与谜面中的“加”组成字“笳”。⺮+加=笳。,笳
二八佳人(猜一字),提示：“二八”指的是“十六岁”。“二八佳人”指的是十六岁的少女，扣“少女”，“少”与“女”组成字“妙”。少+女=妙。,妙
一入江东处处春(猜一字),提示：“江东”理解为“江”字的东面（右边部分），为“工”；“一入江东”理解为“一”与“工”组成字“王”。“春”五行属“木”，扣“木”；“处处春”说明有两个“木”字，即“木木”。木+木+王=琳。,琳
把水浇在根上(猜一字),提示：“水”理解为三点水，形状为“、、、”。“把水浇在根上”理解为把“、、、”浇在“根”字的上面，组成字“粮”。,粮
为臣要正直一点(猜一字),提示：“臣”明扣。“直”指的是竖直，形状为“丨”。“点”的形状为“、”。“为臣要正直一点”指的是“臣”“丨”与“、”组成字“卧”。,卧
欧洲人(猜一字),提示：“欧洲人”是白种人，扣“白人”，“人”理解为单人旁“亻”，“亻”与“白”组成字“伯”。,伯
去云南了(猜一字),提示：“云南”指的是“云”字笔画的南面（下面部分），为“厶”。“去云南了”指的是“去”字笔画的“厶”了结，去掉，剩下“土”。,土
来日是春天(猜一字),提示：“来日是春天”反过来理解就是“春天”二字的“日”没有来，剩下部分组成字“奏”。,奏
月照马疾尘上卷(猜一字),提示：“月”明扣。“马”明扣。“上卷”指的是“卷”字笔画的上面部分。,腾
刮洗之前(猜一字),提示：“刮洗之前”指的是“刮洗”二字笔画的前面部分，分别为“舌氵”。氵+舌=活。,活
乌云密布，鬼影出没(猜一字),提示：谜面中的“云”与“鬼”组成字“魂”。云+鬼=魂。,魂
山区变样已翻身(猜一字),提示：“区变样已翻身”理解为“区”字变样，翻转一下，变成字“冈”。“冈”与谜面中的“山”组成字“岗”。冈+山=岗。,岗
渴了要喝水，喝水要张嘴(猜一字),提示：“水”理解为三点水“氵”，“渴了要喝水”理解为“渴”的“氵”被喝掉了，没有了，剩下“曷”。“口”字义为“嘴”，与谜面中的“嘴”相扣。“喝水要张嘴”理解为“喝”字的“口”被分开了，剩下“曷”，第二次紧扣谜底。,曷
安石踏青(猜一字),提示：“安石”指的是王安石，扣“王”。“踏青”是《新白娘子传奇》中的一首歌曲，扣“白”。白+王=珀。,珀
我有一言应记取(猜一字),提示：“我”即“吾”之意。“言”理解为言字旁“讠”。吾+讠=语。,语
枯木梅花开无主(猜一字),提示：“主”指的是主人，扣“人”。“枯木梅花开无主”指的是“梅”字笔画中的“木”枯萎，“人”无，去掉，剩下“母”。梅-木-人=母。,母
铁西分行(猜一字),提示：“铁西”理解为“铁”字的西面部分（左边部分），为“钅”。“铁西分行”理解为“行”字拆分后，再与“钅”组成字“衔”。行+钅=衔。,衔
人要站好，手要伸直(猜一字),提示：“人要站好”理解为“人”字站好，调整一下笔画，变成“丿一”。“手要伸直”理解为手伸直之后，整个人的形状，为“年”字没有“丿一”的部分。,年
主动到台北献爱心(猜一字),提示：“台北”指的是“台”字笔画的北面（上面部分），为“厶”。“爱心”指的是“爱”字笔画的中心部分，为“冖”。“主动到台北献爱心”指的是“主”字笔画变动，调整笔画，再与“厶”“冖”组成字“室”。主+厶+冖=室。,室
立在妇之前(猜一字),提示：“立”明扣。“妇之前”指的是“妇”字笔画的前面部分，为“女”。女+立=妾。,妾
用心改革旧貌变(猜一字),提示：“用心”理解为“用”字的中心部分，为“二丨”；“用心改革”理解为“二丨”改变结构，调整笔画，变成字“艹”。“旧貌变”理解为“旧”字的容貌改变，变成字“一日”。“用心改革旧貌变”理解为“艹”与“一日”组成字“昔”。,昔
人来口舌生(猜一字),提示：谜面中的“人”与“口舌”组成字“啥”。人+口+舌=啥。,啥
惨案之后(猜一字),提示：“惨案之后”理解为“惨案”二字的后面部分，分别为“彡木”，“彡”与“木”组成字“杉”。彡+木=杉。,杉
与人方便(猜一字),提示：“人”理解为单人旁“亻”。“与人方便”理解为“更”与“亻”方才组成字“便”。便-亻=更。,更
小桥流水有几多(猜一字),提示：“小桥”的形状为“冖”。“水”理解为三点水“氵”。“氵”“冖”与谜面中的“几”组成字“沉”。氵+冖+几=沉。,沉
富乞儿(猜一字),提示：“富”指的是金钱，扣“金”，“金”理解为金字旁“钅”。“乞”指的是乞丐，扣“丐”。丐+钅=钙。,钙
十日论谈闻寻声(猜一字),提示：“十日”为“一旬”，扣“旬”。“论谈”即言语，扣“言”，“言”理解为言字旁“讠”。讠+旬=询。“闻寻声”指的是谜底读音与“寻”相同。,询
春临江边融雪后(猜一字),提示：“春”五行属木，扣“木”。“江边”指的是“江”字笔画的一边，取“氵”。“融雪后”指的是“雪”字笔画的后面部分融化，去掉，剩下“雨”。雨+木+氵=霂。,霂
诗仙拆信识知音(猜一字),提示：“识知音”指的是谜底的读音与“识（zhì）”相同。“讠”理解为言字旁，扣“言”。“诗仙拆信”指的是“诗仙”二字笔画中的“信”拆分，去掉，分别剩下“寺山”，组成字“峙”。寺+山=峙。,峙
冷雨飘零中(猜一字),提示：“冷雨飘零”理解为“冷雨”二字含有“零”字的笔画部分飘走了，没有了，剩下“冫”。“冫”与谜面中的“中”组成字“冲”。冫+中=冲。,冲
明月风吹芳草动(猜一字),提示：“月”明扣。“草”理解为草字头“艹”；“风吹芳草动”指的是“芳”字笔画中的“艹”被吹走了，去掉，剩下“方”。方+月=肪。,肪
结婚有子日好过(猜一字),提示：“结婚有子日好过”反过来理解就是“婚”“子”笔画中的“日好”没有结合，去掉，剩下“氏”。,氏
一斤四两(猜一字),提示：“四两”理解为两个“四”，即“四四”，“四”与“四”相加等于“八”。“八”与谜面中的“一斤”组成字“兵”。八+一+斤=兵。,兵
白头人喜上心来(猜一字),提示：“白头”指的是“白”字笔画的头部，为“丿”。“人”理解为单人旁“亻”。“喜上”指的是“喜”字笔画的上面部分，为“士”。“心”明扣。心+丿+亻+士=恁。,恁
宫中相逢人相偎(猜一字),提示：“宫中”理解为“宫”字的中间部分，为“口”。“人”理解为单人旁“亻”；“相逢人相偎”反过来理解就是“偎”字与“亻”没有相逢，剩下“畏”。口+畏=喂。,喂
两个小人手牵手，木棍上面齐步走(猜一字),提示：“两个小人”理解为两个“人”字，即“人人”。“木棍”的形状为“一”。一+人+人=丛。,丛
火在底下烧，大山也会倒(猜一字),提示：“大山也会倒”理解为“山”字倒了，变成字“彐”。“彐”与谜面中的“火”组成字“灵”。彐+火=灵。,灵
争先恐后去当头(猜一字),提示：“争先”理解为“争”字的先头部分，为“⺈”。“恐后”理解为“恐”字的后面部分，为“心”。“去当头”理解为去掉“当”字的头部，剩下“彐”。彐+心+⺈=急。,急
赶紧占位置(猜一字),提示：“赶紧占位置”理解为立刻占位置，取“立占”二字，组成字“站”。立+占=站。,站
黄昏约相好(猜一字),提示：“黄昏”即酉时，扣“酉”。“好”即“良”之意。良+酉=酿。,酿
田下一方土(猜一字),提示：“田下一方土”理解为“田”字下面一个“土”字，组成字“里”。田+土=里。,里
此文已变，更新一下(猜一字),提示：“此文已变”理解为“文”字变为反文旁“攵”；“已”变成了“己”，“攵”与“己”组成字“改”。“更新”说明发生了改动，扣“改”，第二次紧扣谜底。,改
八九不离十(猜一字),提示：谜面“八”“九”“十”三字组成字“杂”。八+九+十=杂。,杂
九十九(猜一字),提示：“九十九”等于“百”减去“一”，而这里是“百”字减去“一”横，剩下字“白”。,白
村前纵橫又相连(猜一字),提示：“村前”理解为“村”字的前面部分，为“木”。“纵橫”理解为横竖，形状为“一丨”，“一”与“丨”组成字“十”。“十”“木”与谜面中的“又”组成字“枝”。十+又+木=枝。,枝
高小组探头相望，李小姐半露半藏，郑小姐侧着耳朵听端详(猜一字),提示：“高小组探头相望”理解为“高”字的头部，为“亠”。“李小姐半露半藏”理解为“李”字藏起来一半，剩下“子”。“耳”理解为包耳旁“阝”。“听端”理解为“听”字笔画的开端，为“口”。亠+口+子+阝=郭。,郭
角落头(猜一字),提示：“角落头”理解为“角”字头部（⺈）落掉了，没有了，剩下“用”。,用
进取一生，开拓一生，终其一生，奉献一生(猜一字),提示：“进取一生”理解为“生”字的“一”被取走了，剩下“牛”。“开拓一生”理解为“生”字的“一”被开除了，剩下“牛”。“终其一生”理解为“生”字的“一”被终结了，剩下“牛”。“奉献一生”理解为“生”字的“一”被奉献出去了，剩下“牛”。,牛
两万里(猜一字),提示：“两万里”等于“二十千里”，“二十”理解为两个“十”字，即“十十”，“十”与“十”组成字“艹”，“艹”与“千里”组成字“董”。艹+千+里=董。,董
春播下点点滴滴(猜一字),提示：“春”五行属木，扣“木”。“点点滴滴”形状为“、、、、”。“春播下点点滴滴”指的是“木”字笔画下面有“、、、、”，组成字“杰”。,杰
初见端倪(猜一字),提示：“初见端倪”理解为“端倪”二字的初始部分，为“立亻”，“立”与“亻”组成字“位”。立+亻=位。,位
酒后独往明月光(猜一字),提示：“酒后”指的是“酒”字笔画的后面部分，为“酉”。“独”字义为“一个”，扣“一”。“酒后独往”指的是“酉”字笔画的“一”走了，去掉，剩下“西”。“明月光”指的是“明”字笔画的“月”光了，去掉，剩下“日”。日+西=晒。,晒
各方配合(猜一字),提示：“方”理解为方格，形状为“口”。“各方配合”理解为“各”与“口”相配组合在一起，得到字“咯”。口+各=咯。,咯
我要开口叫妹头(猜一字),提示：“妹头”指的是“妹”字笔画的头部，为“女”。“我要开口叫妹头”指的是“我”开口叫来“女”组成字“娥”。我+女=娥。,娥
前辈到边区(猜一字),提示：“前辈”指的是“辈”字笔画的前面部分，为“非”。“边区”指的是“区”字笔画的一边，取“匚”。匚+非=匪。,匪
花开之后方闻香(猜一字),提示：“花开之后”理解为“花”字开除掉后面部分，剩下“艹”。“艹”与谜面中的“方”组成字“芳”。艹+方=芳。,芳
老舍其人已故去(猜一字),提示：“故”通“古”(gǔ)。“老舍其人已故去”指的是“舍”字笔画中的“人”“古”去掉，剩下“一”。,一
与党中央一条心(猜一字),提示：谜面中的“中”与“心”组成字“忠”。中+心=忠。,忠
二人顶破天(猜一字),提示：“二人顶破天”理解为“人”字顶破了“二”字的上面，组成字“夫”。二+人=夫。“顶破天”排除了谜底为“天”字的可能性。,夫
毕业首月到西北(猜一字),提示：“业”明扣。“首月”指的是“月”字笔画的首部，为“丿”。“西北”指的是“西”字笔画的北面（上面部分），为“一”。一+丿+业=严。,严
厌惶引来鬼纠缠(猜一字),提示：“厌惶引来鬼纠缠”指的是“厌”与“鬼”组成字“魇”。厌+鬼=魇。,魇
往东边走走(猜一字),提示：“往东边走”理解为“往”字的东边（右边部分）走了，没有了，剩下“彳”。“彳”与谜面中最后一个“走”组成字“徒”。彳+走=徒。,徒
欲动而力不足(猜一字),提示：“欲动而力不足”理解为“动”字的“力”不足，没有了，剩下“云”。动-力=云。,云
春色满园迎鼠年(猜一字),提示：“春”五行属木，扣“木”。“鼠”为十二生肖，与十二地支中的“子”相扣。子+木=李。,李
大人走来了(猜一字),提示：“大人走”理解为“大”字的“人”走了，没有了，剩下“一”。“一”与谜面中的“了”组成字“子”。一+了=子。,子
口吃黄连苦在心(猜一字),提示：“口吃黄”指的是“吃”字笔画中的“口”黄了，去掉，剩下“乞”。“苦在心”指的是“苦”字笔画的中心部分，为“一”。一+乞=气。,气
牵牛织女遥相望，尔独何辜限河梁(猜一字),提示：“河”理解为银河，银河的形状为“一”。“一”与谜面中的“牛”“女”二字组成字“姓”。牛+一+女=姓。,姓
自已多心不发火，刚一发火火气无(猜一字),提示：谜面中的“自”“心”与“火”组成字“熄”。自+火+心=熄。,熄
山上山下，绿草茵茵(猜一字),提示：“草”理解为草字头“艹”。“艹”与谜面中的“山”“山”组成字“茁”。艹+山+山=茁。,茁
不用心先忘一点点(猜一字),提示：“不用心”指的是“用”字笔画的中心部分不要，去掉，剩下“冂”。“先忘”指的是“忘”字笔画的先头部分，为“亡”。“一”明扣。“点点”的形状为“、、”。,罔
问得直接一点(猜一字),提示：“直”理解为竖直，形状为“丨”。“点”理解为符号“、”。“丨”“、”与谜面中的“问”“一”组成字“闽”。,闽
亥时得子(猜一字),提示：“亥时得子”理解为“亥”字得到了“子”，组成字“孩”。亥+子=孩。,孩
千里连土，土连田(猜一字),提示：“千里连土，土连田”指的是“千”“土”“田”调整笔画，组成“重”。,重
共有二横，猜二不对(猜一字),提示：“横”的形状为“一”；“二横”理解为“一一”。“共有二横”理解为“共”与“一一”组成字“其”。“猜二不对”排除了谜底为“二”的可能性。,其
我也需要人来帮(猜一字),提示：“人”理解为单人旁“亻”。“亻”与谜面中的“我”组成字“俄”。亻+我=俄。,俄
不忘前约作后援(猜一字),提示：“前约”指的是“约”字笔画的前面部分，为“纟”。“后援”指的是“援”字笔画的后面那部分，为“爰”。爰+纟=缓。,缓
僧俗二人曾远游(猜一字),提示：“人”理解为单人旁“亻”；“二人”理解为两个“亻”，即“亻亻”。“僧俗二人曾远游”理解为“僧俗”的“亻亻”“曾”游走了，没有了，剩下“谷”。僧俗-亻亻-曾=谷。,谷
九尾稍长，勺往里放(猜一字),提示：谜面中的“九”与“勺”组成字“尥”。九+勺=尥。,尥
三人跨日冬已去(猜一字),提示：谜面中的“三人”与“日”组成字“春”。三+人+日=春。“冬已去”说明春天来了，扣“春”，第二次紧扣谜底。,春
庄稼一片黄(猜一字),提示：“庄稼一片黄”说明禾的颜色乃是金黄色，扣“禾乃金”，“金”理解为金字旁“钅”，“钅”与“禾乃”组成字“锈”。禾+乃+钅=锈。,锈
乙未苦心出新编(猜一字),提示：“未”为十二地支，与十二生肖中的“羊”相扣。“苦心出”指的是“苦”笔画中心部分去掉，剩下“艹口”。,善
欲要清谈请出去(猜一字),提示：谜面理解为“清谈”二字的“请”笔画部分出去了（没有了），剩下部分组成字“淡”。清谈-请=淡。,淡
岩下角落闻雀声(猜一字),提示：“岩下”理解为“岩”字的下面部分，为“石”。“石”与谜面中的“角”组成字“确”。石+角=确。“闻雀声”理解为谜底与“雀”读声相同，即“雀”与谜底“确”同音相扣。,确
竹下马一匹(猜一字),提示：“竹”理解为竹字头“⺮”。“竹下马一匹”理解为“⺮”下面有个“马”字，组成字“笃”。,笃
骗子对人行骗(猜一字),提示：“骗行骗”说明“骗”字行走了，没有了，互相抵消了，解谜的时候忽略掉。“人”理解为单人旁“亻”。“亻”与谜面中的“子”组成字“仔”。亻+子=仔。,仔
旧车一一被淘汰(猜一字),提示：“旧车”理解为“车”字古时候的写法，即“车”字的繁体字，为“車”。谜面理解为“車”字淘汰（去掉）了“一一”，剩下“申”。,申
顶破天(猜一字),提示：“顶破天”指的是“天”字冲出头，变成字“夫”。,夫
转眼又到植树节(猜一字),提示：“目”字义为“眼睛”，与谜面中的“眼”相扣；“转眼”理解为“目”字转动，变成字“罒”。“树”理解为树木，扣“木”；“植树节”理解为“植”字的“木”节省了，没有了，剩下“直”。直+罒=置。,置
曾记来人是和尚(猜一字),提示：“人”理解为单人旁“亻”。“亻”与谜面中的“曾”组成字“僧”。亻+曾=僧。“和尚”说明是僧人，扣“僧”，第二次紧扣谜底。,僧
君口一开人即来(猜一字),提示：“君口一开”理解为“君”字的“口”开除掉，剩下“尹”。“人”理解为单人旁“亻”。亻+尹=伊。,伊
去头是个字，去尾也是个字，头尾都去掉，仍然是个字(猜一字),提示：“王”字去掉头部，为“土”，去掉尾部，为“干”，去掉头尾，剩下中间部分，为“十”。,王
月缺花残鸟不鸣(猜一字),提示：“月缺”理解为“月”字缺少部分，剩下“尸”。“花残”理解为“花”字残缺了，剩下“匕”。“鸟不鸣”理解为“鸣”字的“鸟”笔画部分不要了，剩下“口”。口+尸+匕=呢。,呢
我在山下独自行(猜一字),提示：“我”指的是自己，扣“己”。“山”明扣。“独”字义为“一个”，扣“一”；“独自行”指的是“自”字笔画中的“一”走了，没有了，剩下“白”。白+己+山=皑。,皑
拱手相别高桥上(猜一字),提示：“手”理解为提手旁“扌”，“拱手相别”理解为“拱”字的“扌”离别了，剩下“共”。“高桥”的形状为“冖”。冖+共=典。,典
身临陕西(猜一字),提示：“陕西”简称“秦”。“身临陕西”指的是人至秦，扣“至秦”。至+秦=臻。,臻
开山造田(猜一字),提示：“开山”理解为将“山”字笔画拆分开。笔画拆分开的“山”再与谜面中的“田”组成字“画”。,画
种菜除草(猜一字),提示：“草”理解为草字头“艹”。“种菜除草”理解为“菜”字的“艹”除掉，剩下“采”。菜-艹=采。,采
暑期前后在一起(猜一字),提示：“暑期前后”理解为“暑”字的前面部分，为“日”；“期”字的后面部分，为“月”。日+月=明。,明
鸳鸯不独宿(猜一字),提示：“鸳鸯”是一种鸟，扣“鸟”。“不独宿”说明是在一起合住，扣“合”。合+鸟=鸽。,鸽
刘先生十分能耐(猜一字),提示：“刘先”指的是“刘”字笔画的先头部分，为“文”。“十分”等于长度一寸，扣“寸”；“十分能耐”反过来理解就是“耐”字笔画中的“寸”去掉，剩下“而”。文+而=斋。,斋
洁净水(猜一字),提示：“水”理解为三点水“氵”。“洁净水”理解为“洁”字的“氵”净出掉，剩下“吉”。洁-氵=吉。,吉
窗前乍见晚梅开(猜一字),提示：“窗前”理解为“窗”字的前面部分，为“穴”。“晚梅开”理解为“梅”字最晚写的笔画开除掉，没有了，剩下“木”。“木”“穴”与谜面中的“乍”组成字“榨”。木+穴+乍=榨。,榨
有人扶便得(猜一字),提示：“人”理解为单人旁“亻”。“有人扶便得”反过来理解就是“便”字没有“亻”，剩下“更”。便-亻=更。,更
阶前残花朝前落(猜一字),提示：“阶前”理解为“阶”字的前面部分，为“阝”。“残花”理解为“花”字残缺了部分，剩下“艹”。“朝前落”理解为“朝”字的前面部分落了，没有了，剩下“月”。月+艹+阝=荫。,荫
开口说梦话(猜一字),提示：“梦话”理解为“梦呓”，扣“呓”。“开口说梦话”理解为“呓”字的“口”开除了，没有了，剩下“艺”。呓-口=艺。,艺
站在树梢上(猜一字),提示：“立”字义为“站”，与谜面中的“站”相扣。“树”理解为树木，扣“木”。木+立=亲。,亲
帽儿十分合适(猜一字),提示：“帽儿”理解为帽子，帽子的形状为“宀”。“十分”等于长度“一寸”，扣“寸”。寸+宀=守。,守
出字取一半，人儿旁边站(猜一字),提示：“出字取一半”理解为“出”字的一半，取“山”。“人”理解为单人旁“亻”。亻+山=仙。,仙
三十六计选上策(猜一字),提示：“三十六计选上策”理解为三十六计中取走为上策，扣“取走”二字，组成字“趣”。取+走=趣。,趣
叹一计不成，方又生一计(猜一字),提示：谜面中的“又”与“一计”组成字“译”。又+一+计=译。,译
骨头掉在水中(猜一字),提示：“水”理解为三点水“氵”。“氵”与谜面中的“骨”组成字“滑”。氵+骨=滑。,滑
情海半生不知悔(猜一字),提示：“情海半生不知悔”理解为“情海”二字取一半，取的字不要“悔”字笔画部分，即“青氵”，“青”与“氵”组成字“清”。氵+青=清。,清
弟子刚先走(猜一字),提示：“弟子”理解为弟弟的儿子，也叫“侄子”，扣“侄”。“刚先走”理解为“刚”字的先头部分走了，剩下“刂”。刂+侄=倒。,倒
唐宋八家，杨州八怪(猜一字),提示：“唐宋八家，杨州八怪”都是古代的文人，扣“古文人”，“文”指的是反文旁（攵），“人”指的是单人旁（亻），“古”与“亻”“攵”组成字“做”。攵+亻+古=做。,做
需要下面团结(猜一字),提示：“需要下面团结”指的是“需要”二字的下面部分“而女”团结起来，组成字“耍”。而+女=耍。,耍
顶尖高手在眼前(猜一字),提示：“顶尖”指的是“尖”字笔画的顶部，为“小”。“高手”指的是“手”字笔画的高处，为“丿”。“眼前”指的是“眼”字笔画的前面部分，为“目”。目+丿+小=省。,省
但愿人长久(猜一字),提示：“但愿人长久”说明希望个个长寿，扣“个个寿”，“个”与“个”组成字“竹”，“竹”理解为竹字头“⺮”。⺮+寿=筹。,筹
省人大(猜一字),提示：“省人大”理解为“大”字省去了“人”，剩下“一”。,一
且散愁心消消火(猜一字),提示：“愁心消消火”理解为“愁”字的“心”消失了，消除掉“火”，剩下“禾”。“禾”与谜面中的“且”组成字“租”。禾+且=租。,租
金莲三寸现人前(猜一字),提示：“金莲三寸”指的是潘金莲的三寸脚（足），扣“三寸足”，“足”理解为足字旁“⻊”。“人前”指的是“人”字笔画的前面部分，为“丿”。丿+三+寸+⻊=踌。,踌
三只狡兔(猜一字),提示：俗话说，狡兔三窟，“三只狡兔”就有“九窟”，“窟”字义为“洞穴”，扣“穴”，“穴”与“九”组成字“究”。穴+九=究。,究
休闲中心改旧貌(猜一字),提示：“休闲中心”理解为“闲”字的中心部分休息了，没有了，剩下“门”。“改旧貌”理解为“旧”字改变样貌，调整笔画，变成字“甲”。甲+门=闸。,闸
单身男子终身未娶老婆(猜一字),提示：“单身男子终身未娶老婆”理解为单身男子终身“未”取“女”子，“女”与“未”组成字“妹”。女+未=妹。,妹
一点一点凝结成(猜一字),提示：“点”理解为“、”。“一点一点凝结成”反过来理解就是“凝”字的“、”“、”没有了，剩下“疑”。,疑
非法出售(猜一字),提示：“非法出售”说明卖的是黑货，扣“卖黑”。卖+黑=黩。,黩
貂蝉(猜一字),提示：“貂蝉”是美女，“美”与“女”合起来为“姜”，因为姜一般都说“美女姜”。“美女姜”，是一种姓氏标注法，是为了与“江”姓区别。,姜
传言不可信(猜一字),提示：“传言不可信”理解为“传言”二字不要“信”字，剩下部分为“专”。传言-信=专。,专
一方落后一方上(猜一字),提示：“一”明扣。“方落后”指的是“方”字笔画的后面部分落掉，去掉，剩下“亠”。“一”明扣。“方”理解为方格，形状为“口”。口+亠+一+一=言。,言
张省长到第一线(猜一字),提示：“张省长”理解为“张”字的“长”省掉了，没有了，剩下“弓”。“第一线”理解为“一”字变成一根线，形状为“丨”。丨+弓=引。,引
春来芳心动(猜一字),提示：“春”五行属“木”。“芳心”理解为“芳”字的中心部分，为“亠”；“芳心动”理解为“亠”字的形状变动一下，变成字“卜”。卜+木=朴。,朴
重点放在上集(猜一字),提示：“点”理解为符号“、”；“重点”理解为“、”字重复，即“、、”。“上集”理解为“集”字的上面部分，为“隹”。“重点放在上集”理解为“隹”与“、、”组成字“准”。,准
不见露头不出来(猜一字),提示：“不见露头”理解为“不”字露出头部，变成字“木”。“木”与谜面中第二个“不”组成字“杯”。木+不=杯。,杯
私字当头必落后(猜一字),提示：“私字当头”理解为“私”字的头部，为“禾”。“禾”与谜面中的“必”组成字“秘”。禾+必=秘。,秘
一大二小(猜一字),提示：谜面中的“大”“二”“小”三字组成字“奈”。大+二+小=奈。,奈
失散的孩子无人认(猜一字),提示：“失散的孩子”理解为“孩”字的“子”失散了，没有了，剩下“亥”。“无人认”理解为“认”字的“人”无，没有了，剩下“讠”。讠+亥=该。,该
确定前一日，小心一点好(猜一字),提示：“确定前”理解为“确”字的前面部分，为“石”。“一日”理解为“一”与“日”组成字“旦”。“小心”理解为“小”字的中心部分，为“亅”。“点”理解为符号“、”。“小心一点”理解为“亅”与“一”“、”组成字“寸”。石+旦+寸=碍。,碍
格斗(猜一字),提示：“格”理解为方格，形状为“口”。“格斗”指的是“口”与“口”相斗，相连，“口”与“口”组成字“日”。,日
拿下(猜一字),提示：“拿下”理解为“拿”字的下面部分，为“手”。,手
佳人失约锁眉头(猜一字),提示：“人”理解为单人旁“亻”；“佳人失约”理解为“佳”字的“亻”失去了，剩下“圭”。“锁眉头”理解为“眉”字的头部被锁了，没有了，剩下“目”。目+圭=眭。,眭
自古相思总成欢(猜一字),提示：“相思”理解为相思豆，扣“豆”。“豆”与“古”组成字“喜”。豆+古=喜。,喜
此女合我心，当与儿婚配(猜一字),提示：“女”明扣。“我”即“自己”之意，扣“自”。“心”明扣。心+自+女=媳。“当与儿婚配”说明会成为自己的儿媳，扣“媳”。第二次紧扣谜底。,媳
差点成汪(猜一字),提示：“点”理解为符号“、”。“差点成汪”反过来理解就是“汪”字多了“、”，组成字“注”。,注
浮桥水逝新月沉(猜一字),提示：“水”理解为三点水“氵”。“桥”的形状为“冖”。“新月”的形状为“丿”。“浮桥水逝新月沉”理解为“浮”字的“氵”逝去了，“丿”沉下去了，没有了，剩下部分再与“冖”组成字“学”。浮-氵-丿+冖=学。,学
喜上眉头(猜一字),提示：“喜上”指的是“喜”字的上面部分“士”。“眉头”指的是“眉”字的头部，上面部分，即“声”字的下面部分。,声
上脚就射门，说来并不难(猜一字),提示：“足”字义为“脚”，与谜面中的“脚”相扣；“足”理解为足字旁“⻊”。“射门”说明是踢球射门，扣“踢”。“上脚就射门”反过来理解就是“踢”字的“⻊”没有了，剩下“易”。踢-⻊=易。“并不难”说明容易，扣“易”，第二次紧扣谜底。,易
晴空一色侧听春(猜一字),提示：“色”指的是颜色，这里特指青色。“晴空一色”指的是“晴”字笔画的“青”空了，去掉，剩下“日”。“侧听”指的是“听”字笔画的侧面，取“斤”。“春”五行属木，扣“木”。木+斤+日=晰。,晰
下垂的眼睛(猜一字),提示：“目”字义为“眼睛”，与谜面中的“眼睛”相扣。“目”与谜面中的“垂”组成字“睡”。垂+目=睡。,睡
竹到笔成(猜一字),提示：“竹”理解为竹字头“⺮”。“竹到笔成”反过来理解就是“笔”字的“⺮”没有到，没有了，剩下“毛”。笔-⺮=毛。,毛
空山之中一亩田(猜一字),提示：“空山”理解为“山”字中间部分空了，剩下“凵”。“凵”与谜面中的“一”“田”组成字“画”。凵+一+田=画。,画
唉！伸手相助却无方(猜一字),提示：“手”理解为提手旁“扌”。“方”理解为方格，形状为“口”；“唉！相助却无方”理解为“唉”字无“口”，剩下“矣”。矣+扌=挨。,挨
香气连夜传(猜一字),提示：“香气连夜”说明发生的时间是在晚上，没有日光，即“香”字没有“日”，剩下“禾”。“夕”字义为“夜晚”，“连夜”即连着的“夕”字，即“夕夕”。夕+夕+禾=移。,移
孩子换马，心里害怕(猜一字),提示：“孩子换马”理解为“孩”字的“子”换成了“马”，变成字“骇”。“骇”字义为“惊吓；震惊”，与谜面中的“心里害怕”相扣。,骇
出言无私(猜一字),提示：“言”理解为言字旁“讠”。“无私”说明“公平；公正”，扣“公”。公+讠=讼。,讼
山复一山独来往(猜一字),提示：谜面中的“山”“山”明扣。“独”字义为“一个”，扣“一”；“独来往”反过来理解就是“来”字笔画的“一”没有了，剩下“米”。米+山+山=粜。,粜
疏林半隐谈书声(猜一字),提示：“疏林半隐”理解为“疏林”二字隐去了一半，剩下“㐬木”，“㐬”与“木”组成字“梳”。㐬+木=梳。“书声”理解为读音为“书”，“书”与“梳”谐音相扣，第二次紧扣谜底。,梳
八哥闯进门(猜一字),提示：“哥”理解为兄长，扣“兄”。“兄”与谜面中的“八”“门”组成字“阅”。兄+八+门=阅。,阅
马奔前头(猜一字),提示：“奔前头”理解为“奔”字的前头部分，为“大”。“大”与谜面中的“马”组成字“驮”。大+马=驮。,驮
诚实无话可说(猜一字),提示：“说”理解为言语，扣“言”，“言”理解为言字旁“讠”。“诚实无话可说”理解为“诚”字无“讠”，剩下“成”。诚-讠=成。,成
内人不在直心喜(猜一字),提示：“内人不在”指的是“内”字笔画中的“人”不在，去掉，剩下“冂”。“心喜”指的是“喜”字笔画的中心部分，为“豆”。“直”指的是竖直，形状为“丨”。丨+冂+豆=鬲。,鬲
吃尽苦头迎春到(猜一字),提示：“吃尽苦头”理解为“苦”字的头部被吃掉了，剩下“古”。“春”五行属“木”，扣“木”。木+古=枯。,枯
岁末时晚壮士归(猜一字),提示：“岁末”理解为“岁”字笔画的末尾部分，为“夕”。“时晚”理解为“时”字笔画最晚的部分，最后部分，为“寸”。“壮士归”理解为“壮”字的“士”回归了，没有了，剩下“丬”。丬+夕+寸=将。,将
月上残云(猜一字),提示：“月”明扣。“残云”理解为“云”字残缺了部分，剩下“育”字没有“月”的部分。,育
