input,explanation,answer
Thanks to the sound recording (6),' recording ' is the definition. (taping is a kind of recording) ' thanks to the sound ' is the wordplay. ' thanks ' becomes ' ta ' (UK informal version of 'thank you') . ' to the sound ' becomes ' ping ' (ping is a kind of sound**) . ' ta '+' ping '=' TAPING ',taping
"In front of car, spots accident (5)",' accident ' is the definition. (crash is a kind of accident) ' in front of car spots ' is the wordplay. ' in front of ' suggests taking the first letters. ' spots ' becomes ' rash '  . The initial letter of ' c ar ' is ' c '. ' c '+' rash '=' CRASH ',crash
Church under pressure to accommodate gold in hall (5),' hall ' is the definition. ' church under pressure to accommodate gold ' is the wordplay. ' church ' becomes ' ch ' (common abbreviation) . ' under ' says to put letters next to each other. ' pressure ' becomes ' p ' (abbreviation) . ' to accommodate ' indicates putting letters inside. ' gold ' becomes ' or ' ('or' is the heraldic name for gold) . ' ch ' after ' p ' is ' pch '. ' pch ' enclosing ' or ' is ' PORCH '. ' in ' is the link.,porch
Aircraft's self-assembly set with ultimate in glue (4),' aircraft's ' is the definition.  ' self-assembly set with ultimate in glue ' is the wordplay. ' self-assembly set ' becomes ' kit '. ' with ' says to put letters next to each other. ' ultimate in ' indicates one should take the final letters. The last letter of ' glu e ' is ' e '. ' kit '+' e '=' KITE ',kite
Wicked Zulu warriors going over house contents? (7),' wicked ' is the definition. ('impious' is associated in meaning with 'wicked') ' zulu warriors going over house contents? ' is the wordplay. ' zulu warriors ' becomes ' impi '  . ' going over ' means one lot of letters go next to another. ' contents? ' means to look at the middle letters  . The middle letters of ' h ous e ' are ' ous '. ' impi '+' ous '=' IMPIOUS ',impious
Choose Royal Academy to present Greek tragedy (7),' greek tragedy ' is the definition.  ' choose royal academy ' is the wordplay. ' choose ' becomes ' elect ' (electing is a kind of choosing) . ' royal academy ' becomes ' ra '. ' elect '+' ra '=' ELECTRA ' ' to present ' is the link.,electra
Forcefully appearing in my eleventh game (10),' forcefully ' is the definition. (thesaurus) ' my eleventh game ' is the wordplay. ' game ' is an anagram indicator (solving anagrams is a game) . ' my '+' eleventh '=' myeleventh ' ' myeleventh ' is an anagram of ' VEHEMENTLY '. ' appearing in ' acts as a link.,vehemently
Landlord to observe in secret (9),' landlord ' is the definition.  ' observe in secret ' is the wordplay. ' observe ' becomes ' keep ' ('keep' can be a synonym of 'observe') . ' in ' means one lot of letters goes inside another. ' secret ' becomes ' inner '  . ' keep ' going inside ' inner ' is ' INNKEEPER '. ' to ' acts as a link.,innkeeper
State component that doesn't refer to The Troubles (5),' state component that doesn't refer to the troubles ' is the definition. ' peace ' can be an answer for ' state ' (peace is a kind of state) . I'm not certain of the rest of the definition. ' state component ' is the wordplay. ' state ' shows a homophone (sound like)  . ' component ' becomes ' piece '  . ' piece ' sounds like ' PEACE '.,peace
Clue in lawsuit that barrister brings to trial? (9),' that barrister brings to trial? ' is the definition. ' clue in lawsuit ' is the wordplay. ' clue in ' becomes ' brief ' (both can mean to inform someone about something) . ' lawsuit ' becomes ' case ' ('case' can be a synonym of 'lawsuit') . ' brief '+' case '=' BRIEFCASE ',briefcase
... uneasy -- others not so much (8),' uneasy ' is the definition. ('restless' can be a synonym of 'uneasy') ' others not so much ' is the wordplay. ' others ' becomes ' rest '  . ' not so much ' becomes ' less '  . ' rest '+' less '=' RESTLESS ',restless
"Film made of one’s defeat (4,2,4)",' film ' is the definition.  ' made of one's defeat ' is the wordplay. ' made of ' indicates an anagram. ' ones '+' defeat '=' onesdefeat ' ' onesdefeat ' with letters rearranged gives ' EAST OF EDEN '.,east of eden
Group having row secures agreement? That makes sense (8),' sense ' is the definition. (eyesight is a kind of sense) ' group having row secures agreement? ' is the wordplay. ' group having row ' becomes ' eight ' (an eight is a type of rowing crew) . ' secures ' means one lot of letters goes inside another. ' agreement? ' becomes ' yes '. ' eight ' going around ' yes ' is ' EYESIGHT '. ' that makes ' acts as a link.,eyesight
"Accuse them if prepared to accept consequences (4,3,5)",' accept consequences ' is the definition. ' accuse them if prepared ' is the wordplay. ' prepared ' indicates anagramming the letters. ' accuse '+' them '+' if '=' accusethemif ' ' accusethemif ' is an anagram of ' FACE THE MUSIC '. ' to ' is the link.,face the music
Pretend lying unconsciously is wrong (10),' is wrong ' is the definition. (type of crime or wrong) ' pretend lying unconsciously ' is the wordplay. ' pretend ' becomes ' kid '  . ' lying unconsciously ' becomes ' napping '. ' kid '+' napping '=' KIDNAPPING ',kidnapping
"Appeared unwise to join army in the end, not wanting to be shot (6-3)",' not wanting to be shot ' is the definition. ' appeared unwise to join army in the end ' is the wordplay. ' appeared ' becomes ' came '  . ' unwise ' becomes ' rash '. ' to join ' says to put letters next to each other. ' in the end ' says to take the final letters. The final letter of ' arm y ' is ' y '. ' came '+' rash '+' y '=' CAMERA-SHY ',camera-shy
"Patronising houri, health not suffering (6-4-4)",' patronising ' is the definition. ' houri health not suffering ' is the wordplay. ' suffering ' indicates an anagram. ' houri '+' health '+' not '=' hourihealthnot ' ' hourihealthnot ' anagrammed gives ' HOLIER-THAN-THOU '.,holier-than-thou
Firmly established moped is for repair (7),' firmly established ' is the definition. ' moped is for repair ' is the wordplay. ' for repair ' indicates anagramming the letters  . ' moped '+' is '=' mopedis ' ' mopedis ' is an anagram of ' IMPOSED '.,imposed
"Difficult area within South American river's mouth part (4,6)",' mouth part ' is the definition. ('hard palate' is part of 'mouth') ' difficult area within south american river's ' is the wordplay. ' difficult ' becomes ' hard ' ('hard' can be a synonym of 'difficult') . ' area ' becomes ' a ' (maths abbreviation) . ' within ' indicates putting letters inside. ' south american river ' becomes ' plate '  . ' a ' inserted within ' plate ' is ' palate '. ' hard '+' palate '=' HARD PALATE ',hard palate
Trick where fruit turns into stone (5),' trick ' is the definition. (thesaurus) ' fruit turns into stone ' is the wordplay. ' fruit ' becomes ' nut ' (nut is a kind of fruit**) . ' turns ' says the letters should be written backwards. ' into ' is an insertion indicator. ' stone ' becomes ' st '. ' nut ' in reverse letter order is ' tun '. ' tun ' going into ' st ' is ' STUNT '. ' where ' acts as a link.,stunt
"New puppies possibly born in rubbish receptacle (6,3)",' rubbish receptacle ' is the definition. ' new puppies possibly born in ' is the wordplay. ' new puppies possibly ' becomes ' litter '. ' born ' becomes ' b '. ' litter '+' b '+' in '=' LITTER-BIN ',litter bin
"Shaky persons, surely, skiing here? (7,6)",' skiing here? ' is the definition. ' shaky persons surely ' is the wordplay. ' shaky ' indicates anagramming the letters. ' persons '+' surely '=' personssurely ' ' personssurely ' with letters rearranged gives ' NURSERY SLOPES '.,nursery slopes
Wreck of Titanic contains account for strategist (9),' strategist ' is the definition.  ' wreck of titanic contains account ' is the wordplay. ' wreck of ' is an anagram indicator  . ' contains ' means one lot of letters goes inside another. ' account ' becomes ' ac '. ' titanic ' is an anagram of ' ttician '. ' ttician ' going around ' ac ' is ' TACTICIAN '. ' for ' acts as a link.,tactician
A he-man’s girl (5),' girl ' is the definition. ' a he-man's ' is the wordplay. ' man ' becomes ' len '  . ' he '+' len '=' HELEN ',helen
Head of regiment drills joint force (5),' force ' is the definition. (driving is a kind of forcing) ' head of regiment drills joint ' is the wordplay. ' head of ' indicates taking the first letters. ' drills ' is an insertion indicator (to drill can mean to make a hole in something) . ' joint ' becomes ' dive '  . The first letter of ' r egiment ' is ' r '. ' r ' going inside ' dive ' is ' DRIVE '.,drive
"Said to be about only half teetotal, but sober (5)",' sober ' is the definition. (synonyms) ' said to be about only half teetotal ' is the wordplay. ' to be about ' means one lot of letters goes inside another. ' only half ' suggests halving the letters. ' teetotal ' becomes ' tt ' (abbreviation) . ' t t ' halved is ' t '. ' said ' placed around ' t ' is ' STAID '. ' but ' is the link.,staid
"I soon gasp fighting this? (6,3)",' this? ' is the definition. The definition suggests a singular noun which matches the answer. ' i soon gasp fighting ' is the wordplay. ' fighting ' indicates an anagram  . ' i '+' soon '+' gasp '=' isoongasp ' ' isoongasp ' with letters rearranged gives ' POISON-GAS '.,poison gas
The French general died very famous (6),' very famous ' is the definition.  ' the french general died ' is the wordplay. ' the french ' becomes ' le ' (**) . ' general ' becomes ' gen '. ' died ' becomes ' d '. ' le '+' gen '+' d '=' LEGEND ',legend
Part or whole read aloud (4),' part ' is the definition. (thesaurus) ' whole read aloud ' is the wordplay. ' whole ' becomes ' sum ' (sum is a kind of whole) . ' read aloud ' shows a homophone (sound like). ' sum ' sounds like ' SOME '. ' or ' is the link.,some
Kind men feeding good person (4),' kind ' is the definition. ('sort' can be a synonym of 'kind') ' men feeding good person ' is the wordplay. ' men ' becomes ' or '  . ' feeding ' means one lot of letters goes inside another. ' good person ' becomes ' st ' (saint) . ' or ' put into ' st ' is ' SORT '.,sort
Cook claims that is hot (5),' hot ' is the definition. ('fiery' can be a synonym of 'hot') ' cook claims that is ' is the wordplay. ' cook ' becomes ' fry '  . ' claims ' indicates putting letters inside. ' that is ' becomes ' ie ' ('i.e.' can be a synonym of 'that is') . ' fry ' going around ' ie ' is ' FIERY '.,fiery
Internal contraction due to extremely speedy boa? (7),' internal contraction ' is the definition. ' extremely speedy boa? ' is the wordplay. ' extremely ' suggests removing the centre. ' boa? ' becomes ' stole ' (both can mean a scarf or shawl) . ' s peed y ' with its middle taken out is ' sy '. ' sy '+' stole '=' SYSTOLE ' ' due to ' is the link.,systole
Vote loser disturbed former US president (9),' former us president ' is the definition. ' roosevelt ' can be an answer for ' president ' (Roosevelt is an example) . I'm unsure of the ' former us ' bit. ' vote loser disturbed ' is the wordplay. ' disturbed ' indicates an anagram. ' vote '+' loser '=' voteloser ' ' voteloser ' anagrammed gives ' ROOSEVELT '.,roosevelt
Attention new edition deserved (6),' deserved ' is the definition. (thesaurus) ' attention new edition ' is the wordplay. ' attention ' becomes ' ear ' (ear is a kind of attention) . ' new ' becomes ' n '. ' edition ' becomes ' ed '. ' ear '+' n '+' ed '=' EARNED ',earned
A course including day for lecture (8),' lecture ' is the definition. (thesaurus) ' a course including day ' is the wordplay. ' course ' becomes ' dish '  . ' including ' indicates putting letters inside. ' day ' becomes ' mon '. ' dish ' going around ' mon ' is ' dmonish '. ' a '+' dmonish '=' ADMONISH ' ' for ' acts as a link.,admonish
Lean over counter in repair shop (7),' repair shop ' is the definition. ' lean over counter ' is the wordplay. ' lean ' becomes ' heel '. ' over ' is a charade indicator (letters next to each other). ' counter ' becomes ' bar ' (bar is a kind of counter) . ' heel '+' bar '=' HEELBAR ' ' in ' is the link.,heelbar
Crone a non-starter in desire (4),' desire ' is the definition. (I know that itch is a more specific form of the action desire) ' crone a non-starter ' is the wordplay. ' crone ' becomes ' witch ' (synonyms) . ' a non-starter ' means to remove the first letter (the letter which starts the word is ignored) . ' w itch ' with its first letter removed is ' ITCH '. ' in ' is the link.,itch
Scrap lorry that doesn't start (4),' scrap ' is the definition. (both can mean a fight) ' lorry that doesn't start ' is the wordplay. ' lorry ' becomes ' truck '  . ' that doesn't start ' means to remove the first letter. ' t ruck ' with its initial letter removed is ' RUCK '.,ruck
Name bird by meadow with no tail (5),' name ' is the definition.  ' bird by meadow with no tail ' is the wordplay. ' bird ' becomes ' tit '  . ' by ' means one lot of letters go next to another. ' meadow ' becomes ' ley '  . ' with no tail ' means to remove the last letter. ' le y ' with its last letter taken off is ' le '. ' tit '+' le '=' TITLE ',title
Designer of bow affected by shocking treatment (9),' designer ' is the definition. ('architect' can be a synonym of 'designer') ' bow affected by shocking treatment ' is the wordplay. ' bow ' becomes ' arc ' ('arc' can be a synonym of 'bow') . ' affected by ' becomes ' hit '. ' shocking treatment ' becomes ' ect ' (electro-convulsive therapy) . ' arc '+' hit '+' ect '=' ARCHITECT ' ' of ' acts as a link.,architect
Severe trouble encountered in a difficult craft (8),' severe trouble ' is the definition. ' a difficult craft ' is the wordplay. ' a difficult ' becomes ' hard '  . ' craft ' becomes ' ship ' (ship is a kind of craft) . ' hard '+' ship '=' HARDSHIP ' ' encountered in ' acts as a link.,hardship
"Very distinctive versifier leading a saboteur into small room (5,2,1,4)",' very distinctive ' is the definition. ' versifier leading a saboteur into small room ' is the wordplay. ' versifier ' becomes ' lear ' (Edward Lear) . ' leading ' is a charade indicator (letters next to each other). ' saboteur ' becomes ' sab ' (short for saboteur in hunting terminology) . ' into ' means one lot of letters goes inside another. ' small room ' becomes ' cell '  . ' lear '+' a '+' sab '=' learasab ' ' learasab ' placed within ' cell ' is ' CLEAR AS A BELL '.,clear as a bell
Pith helmet: most superior one (4),' pith helmet ' is the definition. (synonyms) ' most superior one ' is the wordplay. ' most superior ' becomes ' top '. ' one ' becomes ' i ' (Roman numeral) . ' top '+' i '=' TOPI ',topi
Clot's actual ego damaged (9),' clot's ' is the definition.  ' actual ego damaged ' is the wordplay. ' damaged ' indicates anagramming the letters. ' actual '+' ego '=' actualego ' ' actualego ' anagrammed gives ' COAGULATE '.,coagulate
Cheer snob somehow beginning to get composer (10),' composer ' is the definition.  ' cheer snob somehow beginning to get ' is the wordplay. ' somehow ' indicates an anagram. ' beginning to ' indicates taking the first letters. The first letter of ' g et ' is ' g '. ' cheer '+' snob '=' cheersnob ' ' cheersnob ' with letters rearranged gives ' schoenber '. ' schoenber '+' g '=' SCHOENBERG ',schoenberg
Ponder incomplete bonus level of computer game (11),' of computer game ' is the definition. (multiplayer can describe a type of computer game) ' ponder incomplete bonus level ' is the wordplay. ' ponder ' becomes ' mull ' ('mull' can be a synonym of 'ponder') . ' incomplete ' means to remove the last letter. ' bonus ' becomes ' tip '  . ' level ' becomes ' layer '. ' mul l ' with its final letter removed is ' mul '. ' mul '+' tip '+' layer '=' MULTIPLAYER ',multiplayer
Distinct in cloudless section (5-3),' distinct ' is the definition.  ' cloudless section ' is the wordplay. ' cloudless ' becomes ' clear '. ' section ' becomes ' cut ' (cut is a kind of section) . ' clear '+' cut '=' CLEAR-CUT ' ' in ' is the link.,clear-cut
Tenor joins composer for tour (6),' tour ' is the definition. (thesaurus) ' tenor joins composer ' is the wordplay. ' tenor ' becomes ' t '. ' joins ' says to put letters next to each other. ' composer ' becomes ' ravel '  . ' t '+' ravel '=' TRAVEL ' ' for ' is the link.,travel
"Song recalled in Hair, Aquarius (4)",' song ' is the definition. (aria is a kind of song) ' recalled in hair aquarius ' is the wordplay. ' recalled ' says the letters should be written in reverse. ' in ' says the answer is hidden in the clue. ' aira ' is hidden in the letters of ' h air a quarius '. ' aira ' written backwards gives ' ARIA '.,aria
A fellow taking in Australia going up river (6),' river ' is the definition. (Amazon is an example) ' a fellow taking in australia going up ' is the wordplay. ' fellow ' becomes ' man '  . ' taking in ' is an insertion indicator. ' australia ' becomes ' oz '. ' going up ' is a reversal indicator. ' oz ' back-to-front is ' zo '. ' man ' going around ' zo ' is ' mazon '. ' a '+' mazon '=' AMAZON ',amazon
Very old can start to guide election (6),' election ' is the definition. (thesaurus) ' very old can start to guide ' is the wordplay. ' very ' becomes ' v ' (abbreviation) . ' old ' becomes ' o ' (common abbreviation eg in OE for Old English) . ' can ' becomes ' tin ' ('tin' can be a synonym of 'can') . ' start to ' suggests taking the first letters. The first letter of ' g uide ' is ' g '. ' v '+' o '+' tin '+' g '=' VOTING ',voting
"Look for getting high, inhaling new joints … (5)","' joints ' is the definition. (knee is a kind of joint) ' look for getting high inhaling new ' is the wordplay. ' look for ' becomes ' seek ' ('seek' can be a synonym of 'look for') . ' getting high ' says the letters should be written in reverse (in a down clue, letters go up) . ' inhaling ' means one lot of letters goes inside another. ' new ' becomes ' n '. ' seek ' back-to-front is ' kees '. ' kees ' placed around ' n ' is ' KNEES '.",knees
Chic clique that often appears in magazine (5),' that often appears in magazine ' is the definition. (separate feature inserted into a magazine) ' chic clique ' is the wordplay. ' chic ' becomes ' in '. ' clique ' becomes ' set '  . ' in '+' set '=' INSET ',inset
Performances awful it's clear (8),' performances ' is the definition. (recital is a kind of performance) ' awful it's clear ' is the wordplay. ' awful ' indicates anagramming the letters. ' its '+' clear '=' itsclear ' ' itsclear ' is an anagram of ' RECITALS '.,recitals
One who fights with the French king after all others (8),' one who fights ' is the definition. The answer is a person as well as being a singular noun. This is suggested by the definition. ' with the french king after all others ' is the wordplay. ' with ' becomes ' w ' (abbreviation**) . ' the french ' becomes ' le '. ' king ' becomes ' r ' (r is abbreviation for rex) . ' after ' is a charade indicator (letters next to each other). ' all others ' becomes ' rest ' (as in the rest of a group) . ' le '+' r '=' ler ' ' ler ' put after ' rest ' is ' restler '. ' w '+' restler '=' WRESTLER ',wrestler
Greeting school quintet (4-4),' greeting ' is the definition.  ' school quintet ' is the wordplay. ' school ' becomes ' high ' (high school is a kind of school) . ' quintet ' becomes ' five ' ('five' can be a synonym of 'quintet') . ' high '+' five '=' HIGH-FIVE ',high-five
"What lawyer writes, accounting for storms in sheltered area (8)","' what lawyer writes ' is the definition. ' storms in sheltered area ' is the wordplay. ' storms ' becomes ' gales '. ' in ' means one lot of letters goes inside another. ' sheltered area ' becomes ' lee ' (as in lee side, the side sheltered from wind) . ' gales ' put within ' lee ' is ' LEGALESE '. ' accounting for ' is the link.",legalese
Long line for food store (6),' food store ' is the definition.  ' long line ' is the wordplay. ' long ' becomes ' pant '  . ' line ' becomes ' ry ' (abbreviation for railway) . ' pant '+' ry '=' PANTRY ' ' for ' is the link.,pantry
Engineers track access (8),' access ' is the definition.  ' engineers track ' is the wordplay. ' engineers ' becomes ' re ' (Royal Engineers) . ' track ' becomes ' course ' ('course' can be a synonym of 'track'**) . ' re '+' course '=' RECOURSE ',recourse
She’s back in the USSR (3),' she's ' is the definition. ' back in the ussr ' is the wordplay. ' back ' says the letters should be written backwards. ' in ' indicates a hidden word. ' eus ' is hidden within ' th e us sr '. ' eus ' backwards is ' SUE '.,sue
"Singer in pub, on end of stage, holding it (8)",' singer ' is the definition. (baritone is a kind of singer) ' pub on end of stage holding it ' is the wordplay. ' pub ' becomes ' bar '  . ' end of ' indicates one should take the final letters. ' holding ' indicates putting letters inside. The last letter of ' stag e ' is ' e '. ' bar '+' on '+' e '=' barone ' ' barone ' enclosing ' it ' is ' BARITONE '. ' in ' is the link.,baritone
"Graduate adopting single feature creates fine porcelain (4,5)",' fine porcelain ' is the definition.  ' graduate adopting single feature ' is the wordplay. ' graduate ' becomes ' ba '. ' adopting ' means one lot of letters goes inside another. ' single ' becomes ' one '  . ' feature ' becomes ' chin ' (chin is a kind of feature) . ' one '+' chin '=' onechin ' ' ba ' going around ' onechin ' is ' BONE CHINA '. ' creates ' acts as a link.,bone china
Pitiless truth represented in film (3-6),' pitiless ' is the definition. ' truth represented in film ' is the wordplay. ' represented ' indicates anagramming the letters. ' in ' is an insertion indicator. ' film ' becomes ' coat '  . ' truth ' anagrammed gives ' utthr '. ' utthr ' going inside ' coat ' is ' CUT-THROAT '.,cut-throat
Simon is upset by this job (7),' this job ' is the definition. (a mission is a job or task) ' simon is upset ' is the wordplay. ' upset ' indicates an anagram. ' simon '+' is '=' simonis ' ' simonis ' is an anagram of ' MISSION '. ' by ' acts as a link.,mission
"Composer at the piano maybe making fresh arrangement of A, B, C etc. (6,8)",' fresh arrangement of a b c etc ' is the definition. (alternative to QWERTY keyboard) ' composer at the piano maybe ' is the wordplay. ' composer ' becomes ' dvorak '  . ' at ' means one lot of letters go next to another. ' the piano maybe ' becomes ' keyboard '. ' dvorak '+' keyboard '=' DVORAK KEYBOARD ' ' making ' is the link.,dvorak keyboard
Needs to be casual in speech (5),' needs ' is the definition. (lack is a kind of need) ' casual in speech ' is the wordplay. ' casual ' becomes ' lax '  . ' in speech ' shows a homophone (sound like). ' lax ' is a homophone of ' LACKS '. ' to be ' acts as a link.,lacks
Hedonist tense after exam in German city,"' hedonist ' is the definition.  ' tense after exam in german city ' is the wordplay. ' tense ' becomes ' t ' (abbreviation used in many dictionaries) . ' after ' means one lot of letters go next to another. ' exam ' becomes ' viva ' (short for 'viva voce', an oral examination**) . ' in ' indicates putting letters inside. ' german city ' becomes ' bonn '  . ' viva ' placed inside ' bonn ' is ' bonvivan '. ' t ' put after ' bonvivan ' is ' BON VIVANT '.",bon vivant
Pack short underwear that's wild (7),' wild ' is the definition.  ' pack short underwear ' is the wordplay. ' pack ' becomes ' ram ' ('ram' can be a synonym of 'pack') . ' short ' means to remove the last letter. ' underwear ' becomes ' pants '  . ' pant s ' with its final letter taken off is ' pant '. ' ram '+' pant '=' RAMPANT ' ' that's ' is the link.,rampant
"Tight lip involved, about love, principally old flame (5,5)",' flame ' is the definition.  ' tight lip involved about love principally old ' is the wordplay. ' involved ' is an anagram indicator (involved can mean confusing or complex) . ' about ' means one lot of letters goes inside another. ' principally ' suggests taking the first letters. ' old ' becomes ' o ' (common abbreviation eg in OE for Old English) . The first letter of ' l ove ' is ' l '. ' tight '+' lip '=' tightlip ' ' tightlip ' anagrammed gives ' pitlight '. ' l '+' o '=' lo ' ' pitlight ' placed around ' lo ' is ' PILOT LIGHT '.,pilot light
Figure to enjoy the thing (5),' figure ' is the definition. (numerical figure) ' enjoy the thing ' is the wordplay. ' enjoy ' becomes ' dig ' (to dig can mean to appreciate or 'get') . ' the thing ' becomes ' it '. ' dig '+' it '=' DIGIT ' ' to ' is the link.,digit
Fit father's engaged in kinky sex? (5),' fit ' is the definition. (thesaurus) ' father's engaged in kinky sex? ' is the wordplay. ' father's ' becomes ' pas ' (pa is a kind of father) . ' engaged in ' is an insertion indicator. ' kinky sex? ' becomes ' sm '  . ' pas ' put into ' sm ' is ' SPASM '.,spasm
Write directions for pasta (5),' pasta ' is the definition.  ' write directions ' is the wordplay. ' write ' becomes ' pen ' ('pen' can be a synonym of 'write') . ' directions ' becomes ' ne '  . ' pen '+' ne '=' PENNE ' ' for ' acts as a link.,penne
Bookish volume of Poe fairly regularly overlooked (8),"' bookish ' is the definition. (thesaurus) ' volume of poe fairly regularly overlooked ' is the wordplay. ' volume of poe ' becomes ' liter ' (US spelling of litre, ie 'for Poe', US writer) . ' regularly overlooked ' means one should take alternating letters (letters removed at regular intervals) . The alternate letters of ' f a i r l y ' are ' ary '. ' liter '+' ary '=' LITERARY '",literary
Works up to employ a partner (6),' a partner ' is the definition. ('spouse' can be a synonym of 'partner') ' works up to employ ' is the wordplay. ' works ' becomes ' ops '  . ' up ' says the letters should be written backwards (in down clue: letters go upwards) . ' to employ ' becomes ' use ' ('use' can be a synonym of 'employ') . ' ops ' back-to-front is ' spo '. ' spo '+' use '=' SPOUSE ',spouse
"Bachelor, single friend, providing skeleton service? (4,5)","' skeleton service? ' is the definition. ' bachelor single friend ' is the wordplay. ' bachelor ' becomes ' b ' (abbreviation e.g. BA=Bachelor of Arts) . ' single ' becomes ' one '  . ' friend ' becomes ' china ' (cockney rhyming slang, mate is china plate) . ' b '+' one '+' china '=' BONE CHINA ' ' providing ' acts as a link.",bone china
Replaces fossil fuel that is found just below the surface (7),' is found just below the surface ' is the definition. ' replaces fossil fuel ' is the wordplay. ' replaces ' becomes ' subs ' (as in to bring on a substitute in sport) . ' fossil fuel ' becomes ' oil '  . ' subs '+' oil '=' SUBSOIL ' ' that ' is the link.,subsoil
Drinking spree of new head of drama surrounded by ale (6),' drinking spree ' is the definition.  ' new head of drama surrounded by ale ' is the wordplay. ' new ' becomes ' n '. ' head of ' suggests taking the first letters. ' surrounded by ' is an insertion indicator. ' ale ' becomes ' beer '  . The initial letter of ' d rama ' is ' d '. ' n '+' d '=' nd ' ' nd ' inserted inside ' beer ' is ' BENDER '. ' of ' acts as a link.,bender
"Don's role playing Medieval Scandinavian (3,5)",' medieval scandinavian ' is the definition.  ' don's role playing ' is the wordplay. ' playing ' is an anagram indicator. ' dons '+' role '=' donsrole ' ' donsrole ' is an anagram of ' OLD NORSE '.,old norse
Communist annoyed humanitarian organisation,' humanitarian organisation ' is the definition.  ' communist annoyed ' is the wordplay. ' communist ' becomes ' red ' (red is a kind of communist) . ' annoyed ' becomes ' cross '  . ' red '+' cross '=' RED-CROSS ',red cross
Rotters hosting oddly dull do (7),' do ' is the definition. (thesaurus) ' rotters hosting oddly dull ' is the wordplay. ' rotters ' becomes ' swine ' (swine can mean unpleasant people) . ' hosting ' indicates putting letters inside. ' oddly ' indicates alternate letters. The alternate letters of ' d u l l ' are ' dl '. ' swine ' going around ' dl ' is ' SWINDLE '.,swindle
"Under fire, however, players blew it (7)",' players blew it ' is the definition. (historical type of trombone) ' under fire however ' is the wordplay. ' under ' is a charade indicator (letters next to each other). ' fire ' becomes ' sack ' (dismiss someone from their job) . ' however ' becomes ' but '  . ' sack '+' but ' is ' SACKBUT '.,sackbut
Money fine can upset (7),' money ' is the definition. (finance is the management of money) ' fine can upset ' is the wordplay. ' upset ' indicates an anagram. ' fine '+' can '=' finecan ' ' finecan ' with letters rearranged gives ' FINANCE '.,finance
"Knock into the air and begin to play (6,2)",' begin to play ' is the definition. (as in beginning a piece of music) ' knock into the air ' is the wordplay. ' knock ' becomes ' strike '. ' into the air ' becomes ' up '. ' strike '+' up '=' STRIKE UP ' ' and ' is the link.,strike up
"Superlatively flush in Berlin, I fitted in holiday (7)",' superlatively flush ' is the definition. ' in berlin i fitted in holiday ' is the wordplay. ' in berlin i ' becomes ' ich ' ('I' in German) . ' fitted in ' indicates putting letters inside. ' holiday ' becomes ' rest '  . ' ich ' going within ' rest ' is ' RICHEST '.,richest
Institute found in Italy and maybe another country (5),' another country ' is the definition. ' india ' can be an answer for ' country ' (India is an example) . I am not certain of the ' another ' bit. ' institute found in italy and maybe ' is the wordplay. ' institute ' becomes ' i ' (common abbreviation as in MIT) . ' found in ' indicates putting letters inside. ' italy ' becomes ' i '. ' maybe ' indicates anagramming the letters. ' i '+' and '=' iand ' ' iand ' is an anagram of ' inda '. ' i ' placed inside ' inda ' is ' INDIA '.,india
Resort to guessing just a little bit (10),' just a little bit ' is the definition. ' resort to guessing ' is the wordplay. ' resort ' is an anagram indicator. ' to '+' guessing '=' toguessing ' ' toguessing ' is an anagram of ' SUGGESTION '.,suggestion
Against suppressing language of poetry (6),' poetry ' is the definition.  ' against suppressing language ' is the wordplay. ' against ' becomes ' vs '. ' suppressing ' means one lot of letters goes inside another. ' language ' becomes ' erse ' (Erse is an example) . ' vs ' enclosing ' erse ' is ' VERSES '. ' of ' is the link.,verses
He introduces politician before going after commanding officer (7),' he introduces ' is the definition. ' politician before going after commanding officer ' is the wordplay. ' politician ' becomes ' mp '. ' before ' becomes ' ere ' (usually literary) . ' going after ' says to put letters next to each other. ' commanding officer ' becomes ' co '. ' mp '+' ere '=' mpere ' ' mpere ' put after ' co ' is ' COMPERE '.,compere
Split up following business meeting to cut tenancy cost (8),' split up ' is the definition. (fragmenting is a kind of splitting up) ' following business meeting to cut tenancy cost ' is the wordplay. ' following ' becomes ' f ' (used when citing page numbers etc) . ' business meeting ' becomes ' agm ' (abbreviation for annual general meeting) . ' to cut ' is an insertion indicator. ' tenancy cost ' becomes ' rent '. ' agm ' going within ' rent ' is ' ragment '. ' f '+' ragment '=' FRAGMENT ',fragment
Psalm spoken by Church (6),' psalm ' is the definition. ' spoken by church ' is the wordplay. ' spoken ' becomes ' oral ' ('oral' can be similar in meaning to 'spoken') . ' by ' says to put letters next to each other. ' church ' becomes ' ch ' (common abbreviation) . ' oral ' put after ' ch ' is ' CHORAL '.,choral
"Salt, say, in short shanty? (6)",' salt say ' is the definition. (salting is a kind of seasoning) ' short shanty? ' is the wordplay. ' short ' means to remove the last letter. ' shanty? ' becomes ' seasong ' (a shanty is a sea song) . ' season g ' with its final letter removed is ' SEASON '. ' in ' acts as a link.,season
Waste a long time in underground prison (7),' underground prison ' is the definition.  ' waste a long time ' is the wordplay. ' waste ' becomes ' dung ' (dung is a kind of waste) . ' a long time ' becomes ' eon ' (eon is a kind of long time) . ' dung '+' eon '=' DUNGEON ' ' in ' acts as a link.,dungeon
